codigo;oem;descripcion;modelos;precio
1008/02;7702087375;POLEA DE CIGUEÑAL;R-12 1600 CC.;2383
1008/21;7700112999;POLEA DE CIGUEÑAL;R-19/CLIO/EXPRESS/KANGOO/TRAFIC F8Q;7408
1008/28;8200392683;POLEA DE CIGUEÑAL;CLIO/MEGANE/SCENIC/KANGOO 1.6 16V. K4M;8728
1008/29;7700109260;POLEA DE CIGUEÑAL;LAGUNA/MEGANE/SCENIC 2.0 F3R;8081
1008/30;7700115309;POLEA DE CIGUEÑAL;MEGANE/SCENIC/CLIO II F9Q;12585
1008/31;8200386453;POLEA DE CIGUEÑAL ;LAGUNA/MEGANE/SCENIC 1.8/2.0 F4P/F4R;9289
1008/32;8200619927;POLEA DE CIGUEÑAL ;MEGANE II F4R;13365
1008/33;8200699517;POLEA DE CIGUEÑAL ;MEGANE II 05/   1.6 16V.K4M;13020
1008/34;8200477938;POLEA DE CIGUEÑAL;CLIO II/LOGAN/SANDERO/KANGOO 1.5 DCI K9K;14313
1008/35;8200392697;POLEA DE CIGUEÑAL;CLIO II 1.5 K9K;9740
1008/36;8200029592;POLEA DE CIGUEÑAL;CLIO II 1.2 16 V. D4F;11731
1008/37;8200849840;POLEA DE CIGUEÑAL;LOGAN/SANDERO 11/  1.6 8V. K7M;7846
1008/38;8200936808;POLEA DE CIGUEÑAL ;LOGAN/SANDERO 1.6 8V. K7M;7977
1008/41;7701052580;POLEA DE CIGUEÑAL;MASTER 2.5/2.8 S8V/S9W;14009
1008/42;8200802664;POLEA DE CIGUEÑAL ;MASTER   /06 2.5 DCI G9U;22579
1008/43;8200802666;POLEA DE CIGUEÑAL ;MASTER 06/  2.5 DCI  G9U;16596
1008/44;8200805671;POLEA DE CIGUEÑAL (7 CANALES);MASTER 13/   2.3 DCI M9T;22407
1009/00;7702020133;POLEA DE CIGUEÑAL FUNDICION;R-12/18 1400 CC;3005
1009/03;7703070009;CHAVETA DE CIGUEÑAL;R-12/9/11/18/19/CLIO/TWINGO/EXPRESS;142
1009/08;7702057320;POLEA DE CIGUEÑAL ;R-12/11/18 1400 CC.85/90;1779
1009/10;7702057332;POLEA DE CIGUEÑAL ;R-12/11/18 1400 CC.85/90;2383
1009/11;7702080679;POLEA DE CIGUEÑAL ;R-9/11/18/19 1.6 C2L/C3L;6710
1009/12;7702057955;POLEA CIGUEÑAL ;R-9/11/18/19/TRAFIC 1.4/1.6 C2L/C3L;1779
1009/13;7702080879;CUELLO POLEA CIGUEÑAL ;R-12/18/9/11/19/CLIO/TRAFIC;1965
1009/19;7703053348;ARANDELA POLEA CIGUEÑAL;R-12/9/11/19/CLIO/TRAFIC;54
1011/03;7700710310;ARBOL DE LEVAS;R-18/21/TRAFIC 2.0;4250
1017/08;7700553174;BUJE VOLANTE DE MOTOR (TH150);RENAULT TODOS;401
1025/00;2015042;ARANDELA BULON TAPA CILINDROS;IKA CONTINENTAL;40
1026/02;7703053147;ARANDELA BULON TAPA CILINDROS;RENAULT TODOS 1400/1600 CC.;40
1033/11;_;BUJE DE BIELA ;TORINO 7 BANC.;59
1034/32;7701059314;JUNTA TAPA DE VALVULAS;CLIO II/TWINGO  05/   1.2 16 V. D4F;658
1034/33;7701049888;JUNTA TAPA DE VALVULAS;CLIO II/TWINGO/KANGOO 1.0/1.2 16 V.D4D/D4F;771
1034/34;7701049890;JUNTA CAJA MOTORIZADA ADMISION;CLIO II/TWINGO/KANGOO 1.0/1.2 16 V.D4D/D4F;903
1034/35;7700719666;JUNTA TAPA DE VALVULAS;R-19/MEGANE/TRAFIC F2N/F3P/F3R/F8Q;323
1034/36;7701036311;JUNTA TAPA DE VALVULAS;R-19/CLIO 1.6 C3L/TWINGO;800
1034/37;13270-ET000;JUNTA TAPA DE VALVULAS;FLUENCE/MEGANE III 11/    2.0 16 V.M4R;1434
1034/39;8200117388;JUNTA TAPA DE VALVULAS;CLIO II 1.5 K9K;257
1034/40;5001857428;JUNTA TAPA DE VALVULAS;MASTER     /06 2.5 S9W/S8U;1020
1034/41;7701472450;JUNTA TAPA DE VALVULAS;MASTER 2.5 DCI G9U;2742
1042/00;2019541;COJINETE BALANCIN VALVULAS;TORINO 4 BANC.;68
1059/01;7700722758;CADENA DE DISTRIBUCION;R-4/6/12/9/11/18/19/CLIO/TRAFIC;1572
1061/00;7700719076;TENSOR DE CADENA -WINCHESTER-;R-4/6/12/9/11/18/19;1736
1062/01;7700860495;TENSOR DE CADENA ;CLIO/TWINGO/R-9/19 1.6 C3L;2208
1064/15;7700102395;POLEA TENSOR POLI V;CLIO/MEGANE/SCENIC F8Q/F9Q;1173
1064/25;7700102395;POLEA TENSOR POLI V;CLIO/MEGANE/SCENIC F8Q/F9Q;2575
1064/36;8200933753;TENSOR AUTOMATICO POLI V;CLIOII/KANGOO/LOGAN/SANDERO 1.6 8 V.K7M/16 V.K4M;8123
1064/37;8200933753;POLEA TENSOR POLI V.;CLIOII/KANGOO/LOGAN/SANDERO 1.6;2575
1064/38;7700102931;POLEA TENSOR ALTERNADOR;CLIO II/MEGANE/KANGOO 1.6 16V;1173
1064/50;7702089333-R;POLEA TENSOR ALTERNADOR;R-9/11/19 C3L;2017
1064/60;7700869684;POLEA TENSOR POLI V PLASTICO;KANGOO 1.4 ENERGY E7J;2591
1064/72;8200048486 R;POLEA TENSOR POLI V RUL.SKF;CLIOII/MEGANE/KANGOO 1.5 DCI K9K;2607
1064/73;8200048486 R;POLEA TENSOR POLI V;CLIO/MEGANE/KANGOO 1.5 DCI K9K;1780
1064/80;8200901288;POLEA TENSORA ALTERNADOR ;CLIOII/TWINGO 1.2 16V.D4F;2617
1070/20;7700616687;ENGRANAJE ARBOL DE LEVAS;R-18 2.0 81/84;450
1070/23;7700726296;ENGRANAJE ARBOL DE LEVAS;R-18/21/TRAF.2.0/2.2;910
1070/30;7700718508;ENGRANAJE DE CIGUEÑAL;R-19/CLIO/EXPRESS/KANGOO F8Q;3050
1070/31;7700100766;ENGRANAJE DE CIGUEÑAL ;R-19/CLIO/MEG.96/    F8Q;3357
1070/32;7700866844;ENGRANAJE ARBOL DE LEVAS;R-19/CLIO/MEGANE/KANGOO F8Q/F9Q;5490
1070/33;7700850897;ENGRANAJE EJE AUXILIAR;R-19/CLIO/MEGANE 96/    F8Q;2740
1070/34;8200046741;ENGRANAJE BOMBA INYECTORA ;R-19/CLIO/EXPRESS DSEL.F8Q;8759
1070/39;7700718509;ENGRANAJE ARBOL DE LEVAS;R-19/CLIO/EXPRESS F8Q M/V;3939
1070/44;7700862556;ENGRANAJE DE CIGUEÑAL;CLIO/TWINGO 1.2 8 V. D7F;4173
1070/45;7700874761;ENGRANAJE ARBOL DE LEVAS ;CLIO/TWINGO 1.2 8 V. D7F;3951
1070/46;7700747599;ENGRANAJE DE CIGUEÑAL;CLIO/MEGANE/KANGOO 1.6 8 V. K7M;3154
1070/47;7700739336;ENGRANAJE ARBOL DE LEVAS;CLIO/MEGANE/KANGOO 1.6 8 V. K7M;3951
1070/49;7701471374;ENGRANAJE ARBOL DE LEVAS;CLIO/MEGANE/SCENIC 1.6 16V. K4M;4703
1070/51;8200758088;ENGRANAJE DE CIGUEÑAL ;CLIO/MEGANE 1.6 16V. K4M;2772
1070/53;7700107114;ENGRANAJE BOMBA INYECTORA ;CLIO/MEGANE/EXPRESS  .F8Q;6624
1070/55;8200313627;ENGRANAJE DE CIGUEÑAL ;CLIO II/KANGOO/LOGAN 1.5 K9K;3504
1070/56;8200371496;ENGRANAJE DE CIGUEÑAL ;CLIO II/KANGOO/LOGAN 1.5 K9K;3545
1070/58;7701478037;"ENGRANAJE ARBOL DE LEVAS CAL.ORIG.""IMP0RTADO""";CLIO/MEGANE/LOGAN/SANDERO/KANGOO 1.5 K9K;6788
1070/61;8200945035;ENGRANAJE DE CIGUEÑAL;LOGAN/SANDERO 1.6 8V. K7M;3419
1070/62;8200042037;ENGRANAJE DE CIGUEÑAL;CLIO II 1.2 16 V. D4F;4779
1070/63;8200029684;ENGRANAJE ARBOL DE LEVAS;CLIO II 1.2 16 V. D4F;3696
1070/64;8200758088;ENGRANAJE DE CIGUEÑAL CON CHAVETERO;CLIO/MEGANE 1.6  16V. K4M;2772
1070/65;5000295270;ENGRANAJE DE CIGUEÑAL ;MASTER  /06 2.5 S8U/S9W;4813
1070/66;7701043109;ENGRANAJE ARBOL DE LEVAS  ;MASTER  /06 2.5 S8U/S9W;6282
1070/67;5000293613;ENGRANAJE BOMBA INYECTORA;MASTER  /06 2.5 S8U/S9W;6282
1070/68;8200013997;ENGRANAJE ARBOL DE LEVAS;MASTER 06/  2.5 DCI G9U;4339
1070/70;8200251569;ENGRANAJE DE CIGUEÑAL;MEGANE/LAGUNA/FLUENCE/DUSTER/OROCH  2.0 16 V.F4R/F4P;2846
1070/72;8200782671;ENGRANAJE ARBOL DE LEVAS ADMISION (FIJO);MEGANE/LAGUNA/FLUENCE/DUSTER/OROCH 2.0 16 V.F4R/F4P;12473
1070/73;7701477098;ENGRANAJE ARBOL DE LEVAS ESCAPE;MAGANE/LAGUNA/FLUENCE/DUSTER/OROCH 2.0 16 V. F4R/F4P;4703
1073/00;_;KIT ENGRANAJES DE DISTRIBUCION;R-4/6/12 1400 CC.;1726
1073/05;_;KIT ENGRANAJES DE DISTRIBUCION;R-9/11/12/18/19 1600 CC.;2418
1073/07;_;KIT ENGRANAJES,CADENA Y TENSOR;R-4/6/12 1400 CC.;5034
1073/08;_;KIT ENGRANAJES,CADENA Y TENSOR;R-9/11/12/18/19/TRAF.1.6;5726
1073/09;_;KIT ENGRANAJES,CADENA Y TENSOR;R-9/19/CLIO/TWINGO 1.6 C3L;6198
1073/10;_;KIT ENGRANAJES CON CADENA;R-4/6/12;3298
1073/11;_;KIT ENGRANAJES CON CADENA;R-9/11/12/18/19/TRAF.1.6;3990
1074/00;7702086385;TAPA DISTRIBUCION;R-12/9/11/18/19/CLIO/TRAFIC 1.4/1.6;10610
1074/05;135654971R;JUNTA DRENAJE TAPA DISTRIBUCION;KWID 1.0 12 V. B4D;294
1074/20;8200223917;TAPA DISTRIBUCION;CLIOII/MEGANE/LOGAN/SANDERO/KANGOO/DUSTER/OROCH 1.6 16 V. K4M;3480
1074/25;8200950811;TAPA DISTRIBUCION;R-19/CLIO/KANGOO 96/    1.9 DIESEL F8Q;1328
1074/26;8200748337;TAPA DISTRIBUCION;R-19/CLIO/KANGOO 96/   1.9  DIESEL F8Q;703
1074/27;8200653631/638;KIT TAPAS DISTRIBUCION EXTERIORES (2 PIEZAS);CLIO II/LOGAN/SANDERO/KANGOO 1.5 DCI K9K;6202
1074/28;8200748337/950811;KIT TAPAS DISTRIBUCION EXTERIORES (2 PIEZAS);R-19/CLIO/KANGOO 96/     1.9 DIESEL F8Q;2031
1075/00;733598;TAPON BLOCK HIERRO 41,5 MM.;CONTINENTAL/TORNADO;202
1075/20;7703075214;TAPON BLOCK HIERRO 50 MM.;R-19/MEG/EXP/TRAF. F2N/F3P/F3R/F8Q;202
1075/22;7703075216;TAPON BLOCK HIERRO 38 MM.;R-19/MEG/EXP/TRAF. F2N/F3P/F3R/F8Q;186
1075/24;7703075218;TAPON BLOCK HIERRO 25,4 MM.;R-19/MEG/EXP/TRAF.F2N/F3P/F3R/F8Q;158
1075/26;7703075226;TAPON BLOCK HIERRO 22 MM.;R-19/MEG/EXP/TRAF. F2N/F3P/F3R/F8Q;144
1075/28;_;TAPON BLOCK HIERRO 20,5 MM.;R-19/MEG/EXP/TRAF.F2N/F3P/F3R/F8Q;142
1075/30;7703075219;TAPON BLOCK HIERRO 16,5 MM.;R-19/MEG/EXP/TRAF.F2N/F3P/F3R/F8Q;130
1075/32;_;TAPON BLOCK HIERRO 14 MM.;R-19/MEG/EXP/TRAF. F2N/F3P/F3R/F8Q;129
1075/36;_;TAPON BLOCK HIERRO 10 MM.;R-19/MEG/EXP/TRAF. F2N/F3P/F3R/F8Q;115
1075/47;_;TAPON BLOCK HIERRO 32,2 MM.;R-18/TRAFIC DIESEL;170
1075/49;_;TAPON BLOCK HIERRO 45 MM.;R-18/21/TRAFIC 2.0/2.2/DIESEL;202
1075/53;7703075225;TAPON T/CILINDROS HIERRO 42 MM.;CLIO/MEGANE/SCENIC K7M/E7J;202
1075/55;7700274026;TAPON ARBOL DE LEVAS ;CLIO II/MEGANE/LOGAN/SANDERO/DUSTER/KANGOO K4M;263
1075/56;7700106271;TAPON ARBOL DE LEVAS ;CLIO II/MEGANE/LOGAN/SANDERO/DUSTER/KANGOO K4M;309
1075/60;7703075018;TAPON BLOCK HIERRO 18 MM.;LAGUNA DIESEL G8T;129
1075/62;7703075213;TAPON BLOCK HIERRO 30 MM.;LAGUNA DIESEL G8T;178
1077/00;_;TAPON BLOCK HIERRO 16,5 MM.;TORNADO;130
1078/00;930160;TAPON BLOCK HIERRO 24.1 MM.;TORNADO;154
1092/07;_;KIT ENGRANAJE Y CADENA COMANDO BOMBA DE ACEITE;R-19/CLIO/MEGANE/EXPRESS F3P/F8Q/F9Q;5149
1100/01;7702080856;PIÑON MANDO BOMBA ACEITE;R-12/9/11/18/19/CLIO/EXPRESS/TRAFIC;3652
1100/02;7702080856;PIÑON MANDO BOMBA ACEITE;R-12/9/11/18/19/CLIO/EXPRESS/TRAFIC;3652
1100/15;150565634R;JUNTA BOMBA DE ACEITE;KWID 1.0 12 V. B4D;262
1106/04;980616700;TAPA ENTRADA ACEITE ;R-6/12/9/11/18;419
1106/05;980616700;TAPA ENTRADA ACEITE;R-6/12/9/11/18;288
1106/10;7702087438;TAPA ENTRADA ACEITE;R-9/11/18/TRAFIC/CLIO/LAG./MEG./EXP.;519
1106/11;7702073835;TAPON DE RADIADOR FIJO ;R-9/11/12/18/TRAFIC;339
1106/12;7702087438;TAPA ENTRADA ACEITE ;R-9/11/18/TRAFIC/CLIO/MEGANE;419
1106/21;8200062497;TAPA ENTRADA ACEITE;MEGANE 1.6/CLIO 1.4/LOGAN/SANDERO/KANGOO;480
1106/23;8200800258;TAPA ENTRADA ACEITE;R-19/CLIO/MEGANE/KANGOO/SCENIC/TRAFIC 98/;517
1106/24;8200059541;TAPA ENTRADA ACEITE ;MEGANE/SCENIC T.D. F9Q;1294
1106/25;8200096805;TAPA ENTRADA ACEITE;LOGAN/SANDERO/DUSTER/CAPTUR;517
1106/30;7700740028;O' RING TAPA ENTRADA ACEITE;CLIO/MEGANE/KANGOO/MASTERK7M/D7F/F8Q/F9Q/S8U;94
1107/17;7705030155;CONECTOR CAÑO DE GASES ;R-19/CLIO/EXPRESS 1.6 C3L;130
1107/24;7702220562;TAPON RESPIRADERO TAPA VALVULAS;R-19/CLIO/EXPRESS 1.6 C3L;13
1107/26;7701056972;BUJE FIJACION COBERTOR TAPA VALVULAS;CLIO II 1.5 K9K;186
1107/29;7700874589;DECANTADOR DE GASES;R-19/CLIO/MEGANE/KANGOO DSL.F8Q;883
1107/30;8200291355;DECANTADOR DE GASES;MEGANE II/DUSTER/0ROCH/CAPTUR  2.0 16 V. F4R;6552
1107/31;8200147551;DECANTADOR DE GASES;CLIO II/KANGOO 1.5 DCI K9K;2856
1107/32;8200147551 K;DECANTADOR DE GASES CON MANGUERA;CLIO II/KANGOO 1.5 DCI K9K;4284
1108/02;7700629230;VARILLA NIVEL ACEITE;R-18 2.0/2.2;384
1108/03;7702056222;VARILLA NIVEL ACEITE;R-4/6/12 1300/1400 CC.;384
1108/05;7702086104;VARILLA NIVEL ACEITE;R-12/18 1400 CC.;384
1108/06;7702086602;VARILLA NIVEL ACEITE;R-12/18 1600 CC.;384
1108/08;7700679693;VARILLA NIVEL ACEITE;R-9/11 1400 CC./TWINGO;384
1108/09;7702080846;VARILLA NIVEL ACEITE;R-9/11 1600 CC.;384
1108/13;7702056584;VARILLA NIVEL ACEITE;R-21 /93 2.0;384
1108/14;7702220584;VARILLA NIVEL ACEITE;R-9 M/N/19 RN/CLIO 1600 CC.;384
1108/15;7700629230;VARILLA NIVEL ACEITE;R-21 93/  2.2;384
1108/19;7700864149;VARILLA NIVEL ACEITE;R-19  /96/CLIO DIESEL F8Q;384
1108/20;7700115468;VARILLA NIVEL ACEITE;MEGANE/SCENIC 2.0 F3R;384
1108/21;7700109565;VARILLA NIVEL ACEITE;CLIO/SCENIC/EXPR./KANGOO 1.9 DSEL F8Q;384
1108/22;7700115840;VARILLA NIVEL ACEITE;MEGANE 1.6;384
1108/23;111404310R;VARILLA NIVEL ACEITE ;MEGANE III/FLUENCE MGR/M4R;380
1108/26;7700109390;VARILLA NIVEL ACEITE;CLIO/SCENIC 1.9 DIESEL F8Q;384
1108/28;7700273904;VARILLA NIVEL ACEITE ;CLIO II/KANGOO 1.6 8 VAL. K7M;384
1108/29;8200141457;VARILLA NIVEL ACEITE PLASTICA ;MEGANE/SCENIC/CLIO II 1.6 16V.K4M;347
1108/30;8200678386;"VARILLA NIVEL ACEITE PLASTICA NEGRA ""CAL.ORIG.""";CLIO II/KANGOO/LOGAN/SANDERO 1.6 8V K7M;714
1108/31;8200552996;VARILLA NIVEL ACEITE PLASTICA;CLIO II/LOGAN/KANGOO 1.5 DCI K9K;413
1108/32;8200678386;VARILLA NIVEL ACEITE PLASTICA AMARILLA;CLIO II/KANGOO/LOGAN/SANDERO 1.6 8V. K7M;195
1108/33;7701067122;VARILLA NIVEL ACEITE METALICA;MEGANE II/CLIO II/FLUENCE/DUSTER/KANGOO 1.6 K4M;384
1108/34;8200463663;VARILLA NIVEL ACEITE ;MEGANE 1.5 K9K;211
1108/35;7701067122;VARILLA NIVEL ACEITE ;MEGANE II/CLIO II/FLUENCE/DUSTER/KANGOO 1.6 K4M;254
1108/36;8200552996;VARILLA NIVEL ACEITE ;CLIO II/LOGAN/KANGOO 1.5 DCI K9K;384
1108/38;7700114338;VARILLA NIVEL ACEITE;CLIO/TWINGO/KANGOO 1.2 D7F;918
1108/39;8200255423;VARILLA NIVEL ACEITE;CLIO II 1.2  D4F;270
1108/45;8200676299;VARILLA NIVEL ACEITE ;MASTER 06/11 G9U;297
1108/46;8200457625;VARILLA NIVEL ACEITE ;MASTER 12/     G9U;1428
1108/47;8200457625;VARILLA NIVEL ACEITE ;MASTER 12/     G9U;510
1108/48;111401425R;VARILLA NIVEL ACEITE ;MASTER III  MA3/M9T;380
1116/01;8200639421;BOCA CARGA ACEITE TAPA VALVULAS;CLIO II 1.2 16 V. D4F;2142
1116/04;213043724R;JUNTA RADIADOR DE ACEITE;KWID 1.0 12 V. B4D;294
1116/05;210473766R;TUBO RADIADOR DE ACEITE;CLIO II/MEGANE/KANGOO 1.5 DCI K9K;2397
1116/06;8200779744;RADIADOR DE ACEITE;CLIO/MEGANE/LOGAN/SANDERO/KANGOO 14/    1.5 DCI K9K;15547
1116/07;8200068115;RADIADOR DE ACEITE;CLIOII/MEGANE/LOGAN/SANDERO 1.5 DCI K9K;9078
1116/10;7702220738;FLEXIBLE RADIADOR DE ACEITE ;CLIO 1.6 C3L;3067
1116/13;7701048885;JUNTA CABEZAL PORTAFILTRO DE ACEITE;MASTER 2.5 DCI G9U;137
1116/14;8200969622;RADIADOR DE ACEITE COMPLETO;MASTER 2.5 DCI G9U;25500
1116/15;8200969622  X;RADIADOR DE ACEITE;MASTER 2.5 DCI G9U;12444
1116/18;7701048886;TAPA SOPORTE FILTRO ACEITE;MASTER 2.5 DCI G9U;1734
1116/19;7701478537;TAPA SOPORTE FILTRO ACEITE;MASTER III 2.3 DCI M9T;3417
1117/11;94984;ARANDELA TAPON CARTER ;R-9/11/12/18/19/CL/TW/EX;45
1117/12;7903062003;ARANDELA TAPON CARTER ;R-18/TRAFIC 2000 CC.;48
1117/40;8200728381;CARTER DE ACEITE;CLIO/MEGANE/KANGOO/TRAFIC F8Q/F9Q/F3R;13474
1117/44;8201719715;CARTER DE ACEITE;CLIO/MEGANE/LOGAN/SANDERO/KANGOO K4M/K9K;17425
1117/48;8200728389;CARTER DE ACEITE;MASTER 2.5 DCI G9U;8968
1117/50;8200282199;JUNTA DE CARTER;R-19/MEGANE/EXPRESS/KANGOO F3R/F4R/F8Q/F9Q;496
1117/51;7700273486;JUNTA DE CARTER;CLIO II/MEGANE/LOGAN/SANDERO/KANGOO K7M;516
1117/52;7700103687;JUNTA DE CARTER;CLIO/MEGANE/LOGAN/SANDERO/KANGOO K4M/K9K;516
1117/53;8201022396;JUNTA DE CARTER 22 AGUJEROS;SANDERO/DUSTER/OROCH/CAPTUR 2.0 16 V. F4R;1512
1117/55;7700739392;JUNTA DE CARTER;CLIO ENERGY 1.4;1666
1117/56;7700857225;JUNTA DE CARTER;LAGUNA DIESEL/MASTER 2.5 G9U;1463
1118/00;7029709;TAPON DE CARTER 18-1.5 EXAGONAL;R-4/6/12/18/TORINO;389
1118/01;7903075033;TAPON DE CARTER 16-1.5 EXAGONAL;R-9/11/12/18/19/CLIO/TRAFIC;389
1119/00;8200084515;MULTIPLE ADMISION;CLIO II/KANGOO 1.6 8 V.K7M/E7J;37000
1119/03;7700109420/421;KIT JUNTAS MULTIPLE ADMISION ;CLIO/MEGANE/LAGUNA/KANGOO/DUSTER/CAPTUR K4M/F4P/F4R;623
1119/04;8200052311;GUARNICION MULTIPLE ADMISION;CLIO/MEGANE/LAGUNA/KANGOO/DUSTER/CAPTUR K4M/F4P/F4R;132
1119/05;8200052312;KIT JUNTAS MULTIPLE ADMISION ;CLIO/MEGANE/LAGUNA/KANGOO/DUSTER/CAPTUR  K4M/F4P/F4R;491
1119/06;7701471932;KIT JUNTAS MULTIPLE ADMISION ;LOGAN/SANDERO 1.6 8 V. K7M/K7J;462
1119/07;7700204945;KIT JUNTAS MULTIPLE ADMISION ;CLIO/TWINGO/KANGOO 1.2 16 V. D7F/D7D;396
1119/08;7701475823;KIT JUNTAS MULTIPLE ADMISION ;CLIO/TWINGO 1.2 D4D/D4F;285
1119/10;7701053994;KIT JUNTAS MULTIPLE ADMISION ;KANGOO 06/   F8Q;269
1119/12;7703027082;ESPARRAGO MULTIPLE ADMISION ;TWINGO/EXPRESS;142
1119/15;8201695844;JUNTA CAJA MARIPOSA;KWID 1.0 12 V.B4D;128
1119/16;8201704956;KIT JUNTAS MULTIPLE ADMISION (3 PIEZAS);KWID 1.0 12 V. B4D;187
1119/17;_;KIT JUNTAS MULTIPLE ADMISION (4 PIEZAS);KWID 1.0 12 V. B4D;315
1119/18;_;JUNTA CAJA MARIPOSA;CAPTUR/KANGOO 1.6 16 V. H4M;100
1119/19;_;KIT JUNTAS MULTIPLE ADMISION (5 PIEZAS);CAPTUR/KANGOO 1.6 16 V. H4M;452
1119/20;140328698R;KIT JUNTAS MULTIPLE ADMISION (4 PIEZAS);CAPTUR/KANGOO 1.6 16 V. H4M;352
1119/21;7702086669;CONECTOR MULTIPLE ADMISION ;R-18/21;429
1119/22;7701472449;KIT JUNTAS MULTIPLE ADMISION (8 PIEZAS);MASTER 06/    2.5 G9U;895
1119/26;7705030155;CONECTOR T MANGUERA AGUA A MULTIPLE ADMISION ;R-21;130
1119/27;7705030057;CONECTOR T MANGUERA AGUA ;R-21;117
1119/29;8200545903;SOPORTE CAJA MARIPOSA;MEGANE/LOGAN/KANGOO  1.6 K7M;886
1119/30;8200833248;SENSOR MAP;CLIO/MEGANE/LOGAN/SANDERO/KANGOO D4F/D4D/K7M;1683
1119/31;8200719629;SENSOR MAP;LOGAN/SANDERO/DUSTER/KANGOO 1.6 16 V.K4M/CLIO II 1.2  16 V.D7F;3366
1119/32;7700106644;SENSOR MAP;CLIO/MEGANE 00/;3009
1119/33;223657266R;SENSOR MAP;CLIO II/LOGAN/KANGOO 01/06 1.5 DCI K9K;4029
1119/36;8200146271;SENSOR MAP;CLIO II/MEGANE 1.5 DCI K9K/MASTER 2.3/2.5 DCI;4896
1120/15;7703027168;ESPARRAGO RESORTE BRIDA SALIDA ESCAPE.8x85mm.;R-9/11/TRAFIC;29
1120/29;7703032049;TUERCA BRONCE ESPARRAGO ESCAPE  ;R-9/11/12/18/19/TRAFIC;116
1120/30;7703032047;TUERCA BRONCE ESPARRAGO ESCAPE ;R-9/11/12/18/19/TRAF.;176
1120/31;7703032047;TUERCA BRONCE ESPARRAGO ESCAPE  ;R-9/11/12/18/19/TRAFIC;187
1121/01;7700840085;ARO HIERRO CAÑO ESCAPE;R-9/11/19/CLIO/TRAFIC 1.6/DSEL;335
1123/03;7700632015-K;SOPORTE CAÑO DE ESCAPE ;R-18/TRAFIC;233
1123/06;7700686449;SOPORTE CAÑO DE ESCAPE ;R-9/11;180
1123/07;7700677733;SOPORTE CAÑO DE ESCAPE ;R-9/11/21;224
1123/10;7700785798;SOPORTE CAÑO DE ESCAPE;R-19;177
1124/04;7700842706;SOPORTE CAÑO DE ESCAPE;CLIO/TWINGO/ESPRESS/KANGOO;184
1124/11;7700849461;SOPORTE CAÑO DE ESCAPE ;KANGOO/MASTER;192
1124/12;206511084 R;SOPORTE CAÑO DE ESCAPE;LOGAN/SANDERO 07/   /DUSTER 11/  / MASTER 2.3;380
1137/10;7700505386;SOPORTE DERECHO;R-12;3413
1138/22;7700500416;SOPORTE DE MOTOR;R-12;2812
1138/36;7700678814;SOPORTE DE MOTOR ;R-9/11;2703
1139/12;8200022596;MONTANTE DELANTERO DERECHO;MASTER G9U;4453
1141/01;7700506482;MONTANTE ;R-4/6;430
1151/11;7702021613;TAPA BOMBA DE AGUA CON CONECTORES DE BRONCE;R-12;7532
1165/01;7700542914;CONECTOR BOMBA DE AGUA ;R-12/18;429
1166/01;210146149R;JUNTA BOMBA DE AGUA;KWID 1.0 12 V. B4D;221
1167/05;7701611384-A;TAPA BOMBA DE AGUA;R-9/11/19RN/CLIO/R-18/TRAF.1.4;6258
1167/10;7702023521 REF;TAPA TRASERA TAPA CILIND.;R-12/18 1400 CC.;1359
1167/12;7702087378;TAPA TRASERA TAPA CILINDROS;R-12/18/TRAFIC 1600 CC;1102
1167/14;7702220587;TAPA TRASERA TAPA CILINDROS ;R-19 RN/CLIO/EXPRESS 1600 CC.;1102
1167/20;7702023521;TAPA TRASERA TAPA CILINDROS;R-12/18 1400 CC.;1102
1169/01;2018007;ESPACIADOR DE VENTILADOR ;TORINO 4/7 BANC.;828
1169/02;2018007 S/M;ESPACIADOR DE VENTILADOR ;TORINO 4/7 BANC.;828
1170/02;7702053708;BIDON RADIADOR ;R-6/12 71/84/TORINO;1003
1170/03;7702054601;BIDON RADIADOR;R-12/9/11/18/TRAFIC 84/;839
1170/04;7700588916;BANDA GOMA BIDON RADIADOR;R-12/9/11/18/19;146
1170/06;7702024102;TAPA BIDON RADIADOR;R-6/12 71/84/TORINO;268
1170/07;7700805031;TAPA BIDON RADIADOR ;R-12/9/11/18/TWINGO/LAGUNA/TRAFIC;480
1170/08;7701470460;BIDON RADIADOR;CLIO II/KANGOO/LOGAN/SANDERO/DUSTER;1182
1170/09;7700805032;TAPA BIDON RADIADOR ;R-19/21/CLIO/MEGANE/EXPRESS/KANGOO;480
1170/10;8200048024;TAPA BIDON RADIADOR ;CLIO/KANGOO/LOGAN/SANDERO/DUSTER/FLUENCE;578
1170/12;7700810997;BIDON RADIADOR;R-19/21/CLIO/EXPRESS;1182
1170/13;7701468746;BIDON RADIADOR;MEGANE/SCENIC;1083
1170/14;7701466975;BIDON RADIADOR;TRAFIC 99/   F3R/F8Q;1182
1170/15;217103773R;BIDON RADIADOR;KWID;1394
1170/16;217104354R;BIDON RADIADOR;LOGAN/SANDERO/DUSTER/OROCH/CAPTUR 15/;892
1170/17;217104354R;BIDON RADIADOR ;LOGAN/SANDERO/DUSTER/OROCH/CAPTUR 15/;1992
1170/19;7700821350;BUJE  APOYO DE RADIADOR;R-19/CLIO/EXPRESS;95
1170/20;7700430992;BUJE  APOYO DE RADIADOR ;MEGANE;153
