codigo;oem;descripcion;modelos;precio
2131/55;2S65-8K218-AC;BIDON RADIADOR 2 PICOS;FIESTA/ECOSPORT 03/  1.4/2.0 DIESEL;1885
2131/85;2S65-8K218-BA;BIDON RADIADOR 1 PICO;FIESTA/ECOSPORT 03/  1.6 ROCAM;1885
2131/94;BE8Z-8A080-A;BIDON RADIADOR (CON PICOS DE BRONCE);FIESTA 11/  /ECOSPORT 13/  /KA 14/   1.6 SIGMA/ECOSPORT 2.0 DURATEC;3326
2131/95;BE8Z-8A080-A;BIDON RADIADOR;FIESTA 11/  /ECOSPORT 13/  /KA 14/   1.6 SIGMA/ECOSPORT 2.0 DURATEC;1628
2131/96;CN11-8C012-AA;TUBO BIDON RADIADOR AL BL0CK;FIESTA/ECOSPORT KINECTIC 1.6 16 V.SIGMA/KA 1.5 SIGMA;2586
2132/06;026 121145 2;CONECTOR CALEFACCION PLASTICO;GALAXY/ESCORT/ORION AUDI;349
2132/07;026 121145 2;"CONECTOR CALEFACCION ALUMINIO ""CAL.ORIG""";GALAXY/ESCORT/ORION AUDI;1009
2132/08;98FU-18495-AA;GRIFO DE CALEFACCION;KA/FIESTA/COURIER;6287
2132/15;91AB-8548-CB;KIT CONECTOR ALIMENTACION AGUA;ESCORT/FIESTA 1.8 DIESEL;1283
2132/19;F87H-18495-AA;GRIFO DE CALEFACCION;RANGER/TRANSIT 00/;2845
2132/32;93BW-18B539-BF;RADIADOR DE CALEFACCION;MONDEO 94/01;3888
2132/34;3M5Q-8K512-BC;CONEXION MANGUERAS CALEFACCION;MONDEO 07/14 DURATORQ DIESEL;3264
2132/35;AV6Q-8K512-AA;TUBO ENTRADA AGUA CALEFACTOR;FIESTA/ECOSPORT 1.4/1.6 TDCI;8010
2132/36;2S6Q-8K512-AA;TUBO SALIDA AGUA      CALEFACTOR;FIESTA/ECOSPORT 1.4 TDCI;9936
2132/49;70993009;CAÑO REFRIGERADOR DE ACEITE ;F-100/RANGER 96/  MAXION HSD;855
2132/50;70620785;CAÑO REFRIGERACION;F-100/RANGER 96/  MAXION HSD;769
2132/51;9229.0912.1.475;CAÑO REFRIGERACION;F-100/150 92/96 MWM;3736
2132/55;9L55-8C633-AC;CAÑO REFRIGERACION;RANGER 2.3 16 V.DURATEC;1637
2132/69;7M5G-8K556-AC;CONEXION AGUA ALUMINIO CON BULBO;FIESTA/KA/FOCUS/ECOSPORT 1.6 SIGMA;6936
2132/70;7M5G-8K556-AC;CONEXION AGUA PLASTICO CON BULBO;FIESTA/KA/FOCUS/ECOSPORT 1.6 SIGMA;5100
2132/71;7M5Z-8255-A;JUNTA BASE CONEXION AGUA;FIESTA/KA/FOCUS/ECOSPORT 1.6 SIGMA;71
2132/72;1S7E-8548-BJ;CONEXION AGUA CON BULBO;MONDEO 96/07 DURATEC 2.0/2.5/3.0;6324
2132/73;6G9G-8K556-AA;CONEXION AGUA CON BULBO;FOCUS/MONDEO/ECOSPORT 2.0 DURATEC;8671
2132/74;6G9G-8255-BA;JUNTA BASE CONEXION AGUA ;FOCUS/MONDEO/ECOSPORT 2.0  DURATEC;225
2132/75;1S7G-8K556-AJ;CONEXION AGUA ALUMINIO;FOCUS/MONDEO/ECOSPORT 2.0 16 V. DURATEC;5967
2132/77;CP9Z-8K556-B;CONEXION AGUA CON BULBO;FOCUS/ECOSPORT 13/   2.0 16 V. DURATEC;8976
2132/78;7M51-12A648 AA;BULBO DE TEMPERATURA;FIESTA/KA/FOCUS/ECOSPORT 1.6 SIGMA/2.0 DURATEC;1122
2132/79;_;TRABA BULBO TEMPERATURA;FIESTA/KA/FOCUS/ECOSPORT 1.6 SIGMA/2.0 DURATEC;123
2133/00;8M-18599;NIPLE BOMBA DE AGUA;FALCON/F-100 6 CIL.;589
2133/01;BA-C6TZ-18599-A;NIPLE BOMBA DE AGUA;F-100/350 PERKINS/F-600/700 8C.;735
2133/45;92AB-8274-AD;CAÑO CALEFACCION;ESCORT 97/  ZETEC 16 V.;1645
2133/47;96FF-8K579-AA;CAÑO CALEFACCION;ESCORT/FIESTA/MONDEO 97/  DIESEL;2344
2133/48;XS61-18K359-FA;CAÑO CALEFACCION;ESCORT/FIESTA/COURIER ENDURA 1.8 DIESEL;674
2133/50;N 028206 1;O'RING CONECTOR CALEFACCION;GALAXY/ESCORT/ORION AUDI;50
2133/53;1S41-18K580-BB;CAÑO CALEFACCION;FOCUS TURBO DIESEL;2006
2133/58;YS4Z-8290-BA;CAÑO CIRCULACION AGUA ;FOCUS 1.8/2.0 ZETEC;1563
2133/59;XS4Q-8K579-CF;CAÑO CIRCULACION AGUA ;FOCUS 1.8 DIESEL;3187
